#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.66350  0.61635 -0.00947 -1.02256  0.008423  0.006119  0.006476     1.377
   1.68058  0.63342 -0.00885 -1.02064  0.008536  0.006211  0.006445     1.374
   1.69766  0.65049 -0.00825 -1.01882  0.008649  0.006302  0.006410     1.373
   1.71473  0.66755 -0.00768 -1.01712  0.008762  0.006390  0.006374     1.371
   1.73178  0.68459 -0.00712 -1.01554  0.008874  0.006476  0.006343     1.370
   1.74883  0.70164 -0.00659 -1.01412  0.008982  0.006559  0.006303     1.369
   1.76588  0.71867 -0.00608 -1.01273  0.009088  0.006642  0.006271     1.368
   1.78292  0.73570 -0.00560 -1.01149  0.009190  0.006722  0.006242     1.367
   1.79995  0.75273 -0.00514 -1.01041  0.009288  0.006798  0.006215     1.366
   1.81698  0.76976 -0.00471 -1.00947  0.009383  0.006871  0.006190     1.366
   1.83401  0.78678 -0.00431 -1.00871  0.009472  0.006940  0.006168     1.365
   1.85104  0.80381 -0.00393 -1.00813  0.009556  0.007005  0.006149     1.364
   1.86807  0.82084 -0.00357 -1.00772  0.009634  0.007066  0.006133     1.363
   1.88510  0.83786 -0.00324 -1.00749  0.009707  0.007123  0.006120     1.363
   1.90213  0.85489 -0.00294 -1.00755  0.009768  0.007173  0.006114     1.362
   1.91914  0.87190 -0.00266 -1.00776  0.009825  0.007219  0.006111     1.361
   1.93613  0.88889 -0.00241 -1.00829  0.009869  0.007258  0.006116     1.360
   1.95305  0.90581 -0.00218 -1.00912  0.009902  0.007288  0.006127     1.359
   1.96983  0.92258 -0.00197 -1.01034  0.009919  0.007309  0.006149     1.357
   1.98627  0.93902 -0.00179 -1.01202  0.009917  0.007318  0.006183     1.355
   2.00209  0.95483 -0.00163 -1.01425  0.009891  0.007312  0.006232     1.353
   2.01678  0.96953 -0.00150 -1.01710  0.009836  0.007288  0.006299     1.350
   2.02984  0.98258 -0.00139 -1.02070  0.009746  0.007242  0.006389     1.346
   2.04093  0.99368 -0.00131 -1.02467  0.009637  0.007182  0.006493     1.342
   2.04725  1.00000 -0.00126 -1.03146  0.009397  0.007045  0.006694     1.334
   2.04725  1.00010 -0.00001  1.03146  0.066708  0.012165  0.000000     5.483
   2.05356  1.00636 -0.00082  1.02838  0.065901  0.012437  0.000000     5.299
   2.06096  1.01371 -0.00168  1.02398  0.064763  0.012826  0.000000     5.049
   2.06964  1.02233 -0.00263  1.01858  0.063353  0.013303  0.000000     4.762
   2.07981  1.03245 -0.00371  1.01189  0.061635  0.013894  0.000000     4.436
   2.09174  1.04432 -0.00492  1.00343  0.059571  0.014643  0.000000     4.068
   2.10574  1.05824 -0.00629  0.99255  0.057123  0.015609  0.000000     3.660
   2.12215  1.07458 -0.00784  0.98092  0.054193  0.016647  0.000000     3.255
   2.14139  1.09374 -0.00959  0.97026  0.050744  0.017595  0.000000     2.884
   2.16396  1.11622 -0.01156  0.96085  0.046851  0.018422  0.000000     2.543
   2.19042  1.14259 -0.01379  0.95374  0.042637  0.019032  0.000000     2.240
   2.22145  1.17352 -0.01630  0.94984  0.038315  0.019356  0.000000     1.980
   2.25784  1.20981 -0.01913  0.94956  0.034149  0.019378  0.000000     1.762
   2.30052  1.25236 -0.02231  0.95257  0.030390  0.019154  0.000000     1.587
   2.35057  1.30228 -0.02590  0.95786  0.027199  0.018785  0.000000     1.448
   2.40926  1.36083 -0.02993  0.96415  0.024619  0.018372  0.000000     1.340
   2.47809  1.42951 -0.03447  0.97043  0.022597  0.017982  0.000000     1.257
   2.55880  1.51006 -0.03958  0.97612  0.021039  0.017647  0.000000     1.192
   2.65345  1.60454 -0.04534  0.98099  0.019852  0.017371  0.000000     1.143
   2.76445  1.71534 -0.05182  0.98504  0.018956  0.017149  0.000000     1.105
   2.89461  1.84530 -0.05914  0.98833  0.018287  0.016973  0.000000     1.077
   3.04725  1.99772 -0.06741  0.99227  0.017717  0.016767  0.000000     1.057
